p,m,phim,nSlots,init(p),init(p^2),keyGen,encode(F_p),encode(F_p^d),encode(Z_p^r),encode(R_(p^r)^d),encrypt,decrypt,decode(p),decode(p^2),level,addConst,add,multConst,mult,mult2,autoNative,autoTypical,inProd10
2,4051,4050,81,0,0,0.100208,0.00023075,0.00037425,0.00210775,0.0031895,0.00516994,0.00172106,0.0009235,0.0414489,2,0.00027212,3.58E-05,0.000288425,0.0056233,,0.0048836,3.08E-05,0.006892
2,4051,4050,81,0,0,0.100208,0.00023075,0.00037425,0.00210775,0.0031895,0.00516994,0.00172106,0.0009235,0.0414489,4,0.0005387,5.83E-05,0.0005762,0.0084884,0.0158968,0.0076621,4.45E-05,0.010393
2,4051,4050,81,0,0,0.100208,0.00023075,0.00037425,0.00210775,0.0031895,0.00516994,0.00172106,0.0009235,0.0414489,8,0.00081961,2.10E-05,0.000872675,0.0145485,0.0221073,0.0090638,6.19E-05,0.071313
2,4051,4050,81,0,0,0.100208,0.00023075,0.00037425,0.00210775,0.0031895,0.00516994,0.00172106,0.0009235,0.0414489,9,0.00081356,2.11E-05,0.000869925,0.0145658,0.0219594,0.0090785,6.49E-05,0.071501
2,4369,4096,256,0,0,0.166331,0.00024125,0.0004405,0.0024865,0.00314075,0.00705894,0.00268637,0.00716738,0.0359129,2,0.00031214,3.65E-05,0.000332175,0.0074979,,0.005735,3.54E-05,0.008904
2,4369,4096,256,0,0,0.166331,0.00024125,0.0004405,0.0024865,0.00314075,0.00705894,0.00268637,0.00716738,0.0359129,4,0.00062247,5.89E-05,0.000660225,0.0107063,0.0225787,0.0088664,5.23E-05,0.01266
2,4369,4096,256,0,0,0.166331,0.00024125,0.0004405,0.0024865,0.00314075,0.00705894,0.00268637,0.00716738,0.0359129,8,0.00126309,2.10E-05,0.00132223,0.019655,0.0314691,0.012719,6.87E-05,0.102314
2,4369,4096,256,0,0,0.166331,0.00024125,0.0004405,0.0024865,0.00314075,0.00705894,0.00268637,0.00716738,0.0359129,9,0.00126521,2.09E-05,0.00131965,0.0196648,0.0315374,0.0126944,6.67E-05,0.102389
2,4859,4704,168,0,0,0.192541,0.00027525,0.0004625,0.00288725,0.003664,0.007725,0.00321144,0.00575575,0.0469468,2,0.00034536,4.08E-05,0.0003683,0.0087797,,0.0068117,3.64E-05,0.010425
2,4859,4704,168,0,0,0.192541,0.00027525,0.0004625,0.00288725,0.003664,0.007725,0.00321144,0.00575575,0.0469468,4,0.00068972,6.67E-05,0.00073275,0.0124802,0.0260275,0.0103788,5.63E-05,0.014693
2,4859,4704,168,0,0,0.192541,0.00027525,0.0004625,0.00288725,0.003664,0.007725,0.00321144,0.00575575,0.0469468,8,0.00137335,2.38E-05,0.00143947,0.0229088,0.0363537,0.0149808,7.54E-05,0.118033
2,4859,4704,168,0,0,0.192541,0.00027525,0.0004625,0.00288725,0.003664,0.007725,0.00321144,0.00575575,0.0469468,11,0.001373,2.49E-05,0.00144072,0.0229016,0.0364607,0.0150336,8.22E-05,0.118893
2,10261,9900,330,0,0,1.27807,0.00059,0.00096975,0.0069045,0.0086865,0.0269946,0.0113664,0.0219277,0.195859,2,0.00076172,8.12E-05,0.000807675,0.0200504,,0.0152666,7.98E-05,0.023318
2,10261,9900,330,0,0,1.27807,0.00059,0.00096975,0.0069045,0.0086865,0.0269946,0.0113664,0.0219277,0.195859,4,0.0015225,0.00013913,0.00161585,0.0236194,0.0589698,0.0184464,0.000121607,0.028816
2,10261,9900,330,0,0,1.27807,0.00059,0.00096975,0.0069045,0.0086865,0.0269946,0.0113664,0.0219277,0.195859,8,0.00303592,0.00026121,0.00321035,0.0445911,0.0967407,0.0390398,0.000205321,0.054835
2,10261,9900,330,0,0,1.27807,0.00059,0.00096975,0.0069045,0.0086865,0.0269946,0.0113664,0.0219277,0.195859,16,0.00537818,0.0001056,0.00564373,0.0834005,0.155276,0.0567606,0.000298069,0.394347
2,10261,9900,330,0,0,1.27807,0.00059,0.00096975,0.0069045,0.0086865,0.0269946,0.0113664,0.0219277,0.195859,23,0.00538092,0.00010578,0.00564885,0.0834568,0.155339,0.056666,0.000300167,0.394128
2,11023,10800,240,0,0,0.945825,0.00064,0.0009895,0.00689,0.009551,0.0324183,0.0135242,0.00616838,0.24076,2,0.00082841,8.81E-05,0.000878575,0.0213244,,0.0163248,8.84E-05,0.024554
2,11023,10800,240,0,0,0.945825,0.00064,0.0009895,0.00689,0.009551,0.0324183,0.0135242,0.00616838,0.24076,4,0.00162849,0.00015075,0.0017185,0.0251753,0.0629361,0.0196863,0.000137727,0.031348
2,11023,10800,240,0,0,0.945825,0.00064,0.0009895,0.00689,0.009551,0.0324183,0.0135242,0.00616838,0.24076,8,0.0032074,0.00028672,0.0033883,0.0402076,0.0997205,0.0341177,0.000234969,0.051606
2,11023,10800,240,0,0,0.945825,0.00064,0.0009895,0.00689,0.009551,0.0324183,0.0135242,0.00616838,0.24076,16,0.00649513,0.00013239,0.00682057,0.0981208,0.183314,0.0658628,0.000388861,0.46278
2,11023,10800,240,0,0,0.945825,0.00064,0.0009895,0.00689,0.009551,0.0324183,0.0135242,0.00616838,0.24076,25,0.0065005,0.00013036,0.00683835,0.0980406,0.183241,0.0657306,0.000383545,0.463387
2,11441,10752,224,0,0,0.958546,0.00062225,0.00097475,0.007137,0.00981225,0.0325458,0.0138985,0.00541975,0.238491,2,0.0008432,8.98E-05,0.00089305,0.021586,,0.0165587,8.66E-05,0.024935
2,11441,10752,224,0,0,0.958546,0.00062225,0.00097475,0.007137,0.00981225,0.0325458,0.0138985,0.00541975,0.238491,4,0.00166741,0.00015065,0.00175133,0.0255249,0.0633431,0.0200321,0.000142135,0.031227
2,11441,10752,224,0,0,0.958546,0.00062225,0.00097475,0.007137,0.00981225,0.0325458,0.0138985,0.00541975,0.238491,8,0.0032871,0.00028318,0.00346853,0.0409617,0.100783,0.0347902,0.00023103,0.052148
2,11441,10752,224,0,0,0.958546,0.00062225,0.00097475,0.007137,0.00981225,0.0325458,0.0138985,0.00541975,0.238491,16,0.00656802,0.00013044,0.00691625,0.0996487,0.18562,0.0668385,0.000381091,0.469752
2,11441,10752,224,0,0,0.958546,0.00062225,0.00097475,0.007137,0.00981225,0.0325458,0.0138985,0.00541975,0.238491,25,0.00660268,0.00013088,0.00693065,0.0998625,0.18616,0.0668525,0.000381636,0.469643
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,2,0.00145616,0.00014818,0.0015453,0.0546306,,0.0457364,0.000225029,0.060915
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,4,0.00287916,0.0002625,0.00305088,0.0617432,0.132779,0.0524127,0.000328718,0.071465
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,8,0.00571996,0.00048648,0.00603947,0.0757103,0.170426,0.0654334,0.000474361,0.094477
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,16,0.0118423,0.00092732,0.0125362,0.15494,0.303228,0.143487,0.000827368,0.194217
2,18631,18000,720,0,0,3.13449,0.00112225,0.00185525,0.0142933,0.017001,0.0895654,0.0392134,0.0828752,0.632269,32,0.0193751,0.00036951,0.0204081,0.289017,0.53639,0.196575,0.00114322,1.26975
